1st-re,password,0
admin,password,0
administrator,password,0
batoloco,password,1
batoloco_master,password,1
batoloco_kashiwa,password,1
batoloco_baba,password,1
batoloco_mito,password,1
batoloco_tanukikozi,password,1
batoloco_oyama,password,1
batoloco_isesaki,password,1
batoloco_honatsugi,password,1
batoloco_kawasaki,password,1
batoloco_takasaki,password,1
batoloco_minitomakomai,password,1
batoloco_minishibuya,password,1
batoloco_shintsudanuma,password,1
batoloco_shibuyacenter,password,1
batoloco_fuzisawa,password,1
batoloco_kitizyozi,password,1
batoloco_asahikawa,password,1
batoloco_minimaehashibunkyo,password,1
batoloco_sapporo,password,1
batoloco_kawagoe,password,1
compoff_yamamuro,password,0
compoff_nonoichi,password,0
compoff_takaika,password,0
beems,password,0
torecaseven,password,0
ymtrngok_gc,password,0
tail_of_lizard,password,0
natsukashiya,password,0
torekazamurai,password,0
fammysbookone,password,0
torekaline,password,0
card_paradise,password,0
torecahorizon,password,0
youing_kumamoto,password,0
youing_hamamachi,password,0
bungbung,password,0
abisu,password,0
88round,password,0
WiZ,password,0
